128,"t","Crop Progress: Released April 11, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
128,"t","Topsoil Moisture Condition - Selected States: Week Ending April 10, 2016"
128,"t","[National topsoil moisture conditions for selected States are weighted based on cropland acreage]"
128,"h","","","","",""
128,"h","State","Very short","Short","Adequate","Surplus"
128,"h","","","","",""
128,"u","","(percent)","(percent)","(percent)","(percent)"
128,"d","Alabama",-,1,59,40
128,"d","Arizona",1,27,65,7
128,"d","Arkansas",-,3,76,21
128,"d","California",25,30,35,10
128,"d","Colorado",10,24,62,4
128,"d","Connecticut",-,8,71,21
128,"d","Delaware",-,5,65,30
128,"d","Florida",2,15,75,8
128,"d","Georgia",-,4,55,41
128,"d","Idaho",-,10,71,19
128,"d","Illinois",-,2,74,24
128,"d","Indiana",-,1,58,41
128,"d","Iowa",-,3,84,13
128,"d","Kansas",17,43,39,1
128,"d","Kentucky",-,5,79,16
128,"d","Louisiana",-,8,63,29
128,"d","Maine",-,6,33,61
128,"d","Maryland",-,-,71,29
128,"d","Massachusetts",-,19,71,10
128,"d","Michigan",-,-,27,73
128,"d","Minnesota",1,12,77,10
128,"d","Mississippi",1,5,68,26
128,"d","Missouri",4,14,77,5
128,"d","Montana",17,33,50,-
128,"d","Nebraska",7,26,66,1
128,"d","Nevada",10,15,75,-
128,"d","New Hampshire",-,5,76,19
128,"d","New Jersey",-,16,57,27
128,"d","New Mexico",10,63,27,-
128,"d","New York",-,2,55,43
128,"d","North Carolina",1,10,80,9
128,"d","North Dakota",7,28,63,2
128,"d","Ohio",-,1,45,54
128,"d","Oklahoma",12,37,48,3
128,"d","Oregon",4,11,68,17
128,"d","Pennsylvania",1,7,74,18
128,"d","Rhode Island",-,-,100,-
128,"d","South Carolina",-,6,76,18
128,"d","South Dakota",6,23,68,3
128,"d","Tennessee",-,6,73,21
128,"d","Texas",10,43,43,4
128,"d","Utah",-,14,79,7
128,"d","Vermont",-,-,54,46
128,"d","Virginia",1,14,78,7
128,"d","Washington",1,8,85,6
128,"d","West Virginia",2,15,78,5
128,"d","Wisconsin",-,1,54,45
128,"d","Wyoming",2,15,65,18
128,"d","",,,,
128,"d","48 States",6,18,62,14
128,"d","",,,,
128,"d","Previous week",5,16,62,17
128,"d","Previous year",6,17,53,24
128,"c",""
128,"f","-  Represents zero."
